ca,polarity,bo,mo,org.flowrate,pitch,L,GT
0.180626975,0,0.0838,1.05E-09,800,0.245,14,1500
0.203205347,0,0.0838,1.05E-09,900,0.245,14,1400
0.225783718,0,0.0838,1.05E-09,1000,0.245,14,1400
0.24836209,0,0.0838,1.05E-09,1100,0.245,14,1400
0.045156744,0,0.0838,1.05E-09,200,0.245,14,3500
0.067735116,0,0.0838,1.05E-09,300,0.245,14,3000
0.090313487,0,0.0838,1.05E-09,400,0.245,14,2700
0.112891859,0,0.0838,1.05E-09,500,0.245,14,2200
0.135470231,0,0.0838,1.05E-09,600,0.245,14,1700
0.158048603,0,0.0838,1.05E-09,700,0.245,14,1400
0.180626975,0,0.0838,1.05E-09,800,0.245,14,1500
0.203205347,0,0.0838,1.05E-09,900,0.245,14,1400
0.225783718,0,0.0838,1.05E-09,1000,0.245,14,1300
0.24836209,0,0.0838,1.05E-09,1100,0.245,14,1300
0.045156744,0,0.0838,1.05E-09,200,0.453,7,3700
0.067735116,0,0.0838,1.05E-09,300,0.453,7,2200
0.112891859,0,0.0838,1.05E-09,500,0.453,7,1900
0.135470231,0,0.0838,1.05E-09,600,0.453,7,1600
0.158048603,0,0.0838,1.05E-09,700,0.453,7,1600
0.180626975,0,0.0838,1.05E-09,800,0.453,7,1400
0.203205347,0,0.0838,1.05E-09,900,0.453,7,1500
0.225783718,0,0.0838,1.05E-09,1000,0.453,7,1500
0.24836209,0,0.0838,1.05E-09,1100,0.453,7,1400
0.045156744,0,0.0838,1.05E-09,200,0.453,7,3700
0.067735116,0,0.0838,1.05E-09,300,0.453,7,3400
0.090313487,0,0.0838,1.05E-09,400,0.453,7,2800
0.112891859,0,0.0838,1.05E-09,500,0.453,7,2400
0.135470231,0,0.0838,1.05E-09,600,0.453,7,2000
0.158048603,0,0.0838,1.05E-09,700,0.453,7,1800
0.180626975,0,0.0838,1.05E-09,800,0.453,7,1700
0.203205347,0,0.0838,1.05E-09,900,0.453,7,1200
